Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
HUACHANA MARTIN;ANANA FIZZ DEL VALLE;485;700;44,33;3400;16,84;7790154000027;65308;21/12/2022
BARRICA BEBIDAS;ANANA FIZZ TUNUYAN;40;50;25;275;14,58;7791305000279;-3;18/10/2019
OTROS;ANANA FIZZ VICTORIA;116,28;150;29;770;10,37;7792316000036;988;19/12/2020
TIA MARUCA;ANILLOS DE COCO;48,51;60;23,69;325,99;12;7798082740107;10;08/10/2020
HUACHANA MARTIN;ANIS 8 HNOS X 1L;925;1200;29,73;1070;15,68;7792410505352;390;06/12/2022
CORDOBEZA;ANIS FEUDAL;94;120;27,66;620;10;7790163070356;67;06/05/2022
BARRICA BEBIDAS;APERITIVO APEROL X 750 CC;1558;2000;28,37;10800;15,53;7791200000527;944;16/01/2023
CORDOBEZA;APERITIVO CAMPARI  1 L;1500;1950;30;9917;10,19;7791200000640;413;04/11/2022
CORDOBEZA;APERITIVO CAMPARI X750CC;1100;1400;27,27;7590;15;7891136052000;59866;20/10/2022
BARRICA BEBIDAS;APERITIVO CARPANO BIANCO;150;500;233,33;1080;20;3503;2;21/04/2022
HUACHANA MARTIN;APERITIVO CYNAR;900;1200;33,33;1050;16,67;7791200000626;853;25/01/2023
BARRICA BEBIDAS;APERITIVO GANCIA + HIELERA ICEBOX;200;280;40;260;30;7790950115505;-8;09/04/2020
BARRICA BEBIDAS;APERITIVO GANCIA 1.25 L;850;1100;29,41;5900;15,69;7790950138870;395;28/01/2023
OSOLA;APERITIVO GANCIA 450 ML;216,16;280;29,53;2860;10,26;7790950000191;427;10/11/2021
OSOLA;APERITIVO GANCIA MARCELA 950 CC;133,33;190;42,5;920;15;7790950002768;73;20/01/2022
CORDOBEZA;APERITIVO GANCIA X950CC;730;950;30,14;10000;14,16;7790950000160;98450;28/01/2023
OSOLA;APERITIVO MARTINI DRY;290;360;24,02;2004;15,16;7790950134827;42;04/09/2020
